,,,,,0,Equity IRR,0.05791188180446624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Months per period -post COD,,,month,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,periods per year  - post COD,,,periods,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Expenditure Assumptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expected Plant Capacity,,,MW,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacity Factor,,,%,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plant Cost,,,USD,164500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S-Curve 1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Middle pt,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gamma (height),,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Beta,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alpha (skewness),,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Construction Month,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
,,Weibull Distribution,,,,,,,,,0.010657988944809259,0.012963865115640355,0.014435334076949378,0.015492342011708606,0.016287888347040324,0.016898112915875438,0.01736763694598089,0.01772545856308357,0.01799182825426718,0.018181658153494193,0.01830638515328005,0.01837506637720229,0.018395061319303904,0.018372476740307626,0.018312468159684337,0.01821945087148061,0.018097251778978588,0.017949221305199686,0.01777831764092965,0.017587171372702277,0.01737813590456427,0.017153327402547634,0.01691465688324089,0.01666385632329089,0.01640250015592911,0.016132023163834244,0.0158537355242586,0.015568835579665376,0.015278420773591797,0.014983497092604627,0.014684987281182825,0.01438373804031672,0.014080526377757929,0.013776065244779851,0.013471008568560953,0.013165955769096389,0.012861455833565478,0.012558011008357831,0.012256080158759678,0.011956081838071874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,S-Curve,,,,,,,,,0.016786405345714666,0.020418176056027398,0.022735749715193272,0.02440054442819085,0.025653535337200942,0.026614643198864568,0.02735414675152515,0.027917718241160634,0.028337252323169478,0.028636235710341476,0.028832681586463346,0.02894085498299891,0.02897234715330607,0.028936776287211446,0.028842262363076243,0.02869575949916519,0.028503295094272324,0.028270146087528324,0.028000971649615066,0.027699914972281196,0.02737068268296598,0.027016607757616006,0.02664070006040391,0.026245687466371962,0.025834049718607744,0.025408046609624844,0.024969741677539695,0.024521022319912412,0.024063617017805912,0.0235991102069303,0.023128955216139127,0.022654485605272237,0.02217692516684273,0.02169739680397324,0.021216930456433927,0.020736470214809156,0.02025688073765406,0.019778953066460905,0.019303409917187982,0.018830910514141427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S-Curve 2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Middle pt,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gamma (height),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Beta,,,29,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alpha (skewness),,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Construction Month,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
,,Weibull Distribution,,,,,,,,,0.0001230012299089099,0.0004918637272849658,0.001105831564013634,0.0019629425846707915,0.0030594361710829247,0.004389180627577277,0.005943134326198576,0.007708858255355594,0.009670100553837126,0.011806475741254152,0.01409326241149928,0.016501342872954818,0.018997306357394758,0.021543733791386226,0.024099676626289798,0.026621334867562053,0.029062930385352913,0.03137776114336552,0.03351941064009414,0.03544307526961724,0.037106961272855704,0.03847369335651269,0.03951166983184649,0.04019629514992993,0.040511020730012844,0.04044812951142621,0.04000920891322537,0.03920527068735797,0.03805649391428716,0.03659158811746965,0.0348467958046922,0.03286457605054939,0.030692031250880804,0.028379156171150024,0.025977000346491932,0.023535840616448537,0.021103459452851817,0.018723616733039655,0.016434788326431783,0.014269225496856164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,S-Curve,,,,,,,,,0.0001316284929229128,0.0005263628761591497,0.001183394201062036,0.0021006226873159675,0.0032740239483111137,0.004697036213396363,0.006359983678011033,0.008249554862664907,0.010348358006316184,0.012634577798149653,0.015081758881326512,0.01765874125957787,0.02032977074514282,0.02305480370393584,0.025790019470514968,0.028488545934121215,0.031101394102974116,0.03357858627637312,0.03587045031571865,0.03792904010592447,0.03970963048834586,0.0411722246797567,0.04228300446007927,0.043015649157233354,0.043352449478834064,0.043285147092290664,0.04281544075767282,0.041955114587337666,0.04072576301535631,0.0391581092410654,0.037290937809003624,0.035169685858327436,0.03284475953035767,0.030369660205827487,0.027799018016315222,0.025186636201209155,0.022583648678113463,0.020036884626774904,0.017587518600564768,0.015270063955615162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gamma Distribution,,,,,,0.9999999999999999,,6.133635694031892e-07,9.029147618664157e-06,4.205528522929151e-05,0.0001222881352086209,0.0002746838764016778,0.0005240430251018163,0.0008932291687555428,0.0014019724446185265,0.0020661334114565376,0.0028973243485590863,0.003902803178067012,0.00508557058772494,0.006444613918364506,0.007975252310280909,0.009669546767785853,0.011516746455665982,0.013503748905359061,0.015615557073164098,0.017835720522700924,0.020146751541563434,0.0225305098704476,0.024968552027617046,0.02744244304313546,0.02993402985360278,0.032425676715703254,0.03490046383244912,0.03734235099789181,0.03973630849526113,0.04206841776467144,0.04432594451895351,0.04649738705440681,0.0485725024978879,0.050542313669778474,0.052399099138202274,0.054136368905069766,0.05574882800867287,0.0572323301583821,0.0585838233407397,0.05980128915782888,0.060883677482102036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,,Alpha,,5,,,,,,1.540605064577244e-07,2.267880135702307e-06,1.0563161662752347e-05,3.0715505425831145e-05,6.899323537488436e-05,0.00013162557719458194,0.00022435525190253594,0.0003521379417233141,0.0005189573943687908,0.0007277303034897011,0.0009802796648044514,0.001277359170734175,0.0016187144684086825,0.0020031698511953143,0.0024287312559355843,0.0028926983606664108,0.00339178017609003,0.003922209846359116,0.0044798554622984205,0.005060324578766976,0.005659060848314327,0.00627143176213348,0.006892806949353719,0.007518626846478482,0.008144461826965673,0.008766062090822065,0.009379398767773326,0.009980696795371941,0.010566460204029708,0.011133490481757106,0.011678898708530804,0.01220011214885953,0.012694875975577875,0.013161250771731893,0.013597606423564492,0.014002612978461736,0.01437522899923015,0.014714687901803653,0.015020482718666071,0.015292349685893523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,,Beta,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Development Cost,,,% of EPC,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Development Fee,,,% of EPC,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue Assumptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacity Rate Financial (CRF),,,,,Years,Start period,Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tier 1,,RM / kW - mth,,,2029-09-01 00:00:00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tier 2,,RM / kW - mth,,15,2044-09-01 00:00:00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
